Ticker,Average_ROE,Years_of_Data,Data_Years,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROE_2021,ROE_2022
ADP,0.32150092084399984,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.2051357540071966,0.22431703258534064,0.21075829810200594,0.3152542372881356,0.32410299892895394,0.3752828765401056,0.377499524905509,0.3490620196670309,0.3985953200514586,0.4350011463642616
CTAS,0.23353611835043195,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.11546209098537492,0.13519785672625656,0.1474624088708754,0.1700855601564757,0.19637295255780357,0.35888028440507025,0.26087735169665144,0.36589741240311224,0.29337754754973105,0.29174771815296857
DORM,0.1935328633790079,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.2024563656884018,0.2237821780304822,0.24610060323487706,0.21754855055470806,0.1998199371944397,0.2047135720297431,0.1771801170795922,0.21046081722476281,0.11511730662719567,0.13814918612587643
ORLY,1.3136445883446985,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.1581691038217146,0.20589689934551933,0.3179290302598246,0.39575532174044825,0.46135934182116883,0.5290794844680657,0.696809609030837,2.02816800041651,3.933197046939635,4.410082045603262
POOL,0.643378400735523,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.25244580653757953,0.29302295653914623,0.3456038746835308,0.3867888266907073,0.5249598939235202,0.5824401840910601,0.9338385068953755,1.0507067121973954,1.1698868464600385,0.8940903993368765
TSCO,0.32655666275131806,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.2386733558926838,0.27418401451963226,0.32023641575298495,0.2974470965454962,0.317259874099482,0.3137313445690572,0.29080220586312583,0.37524996951376394,0.3600632595305477,0.47791909122640663
WDFC,0.30397328367424914,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.18538702652093383,0.17634401121127488,0.2146693123119561,0.24370080275421013,0.26448071304193843,0.33338823499600906,0.37700772819544853,0.4678700309211046,0.35956241277518025,0.41732256401443546
AME,0.17200812397998863,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.18728715099583254,0.18110637196758694,0.16485301428101787,0.1804133337819538,0.18154436177920288,0.157271904027406,0.16919863353984835,0.18339163237796452,0.168370315113385,0.1466445219356884
CLX,2.6385927078533165,7,"2016,2017,2018,2019,2020,2021,2022",,,,3.8219178082191783,3.7142857142857144,4.728813559322034,1.9528619528619529,1.1955719557195572,0.7720264317180616,2.2846715328467155
EPAM,0.1838656956182932,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.6694893507826534,0.14486534202248863,0.13359336278418274,0.11356553814843866,0.1080812682682119,0.10181681670901085,0.05762730121115543,0.24642980592791197,0.1316463088080895,0.13154186152078892
LMT,9.796807246664777,9,"2013,2014,2015,2016,2017,2019,2020,2021,2022",0.7592221904489562,2.7422577422577423,76.43589743589743,1.166935744268647,2.385837193911317,,1.4081779053084649,1.6136872401662936,1.0357439733998337,0.6235057943242996
NOC,0.2976941959846542,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.20491486068111456,0.20790414126550347,0.18380414312617702,0.28597097442985486,0.360376675117711,0.38094350177139663,0.4022714526079641,0.39440576523757176,0.2549041841478626,0.30144626146138576
SNA,0.1710238264895056,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.15332112535375395,0.1448514101836078,0.1586647341244678,0.17486633232478135,0.18290539507871006,0.18497579471207556,0.17997289273267073,0.19943680150186266,0.1813119297236529,0.14993184915947297
UNH,0.21293347897987838,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.16492398486112003,0.19532023186766578,0.18041567772147027,0.17477993094653022,0.1791150551549886,0.20806523350630096,0.2765539460931975,0.24052334798226074,0.25477273145676466,0.25486465020848503
